time,open,high,low,close,HTF EMA,HTF EMA,S2 SHORT,S2 LONG,S2 SHORT (blocked),S2 LONG (blocked),HTF EMA
1765949100,25818.35,25821.7,25801.8,25819.5,25865.5762608517,25865.5762608517,0,0,0,0,25865.5762608517
1765949400,25819.95,25830.25,25813.05,25822.15,25864.614446700652,25864.614446700652,0,0,0,0,25864.614446700652
1765949700,25822.25,25836.7,25820.4,25831.45,25863.690350751607,25863.690350751607,0,0,0,0,25863.690350751607
1765950000,25831.55,25843.6,25828.15,25842.75,25862.869160526054,25862.869160526054,0,0,0,0,25862.869160526054
1765950300,25842.05,25850.75,25838.1,25839.65,25862.080173838756,25862.080173838756,0,0,0,0,25862.080173838756
1765950600,25839.7,25840.5,25825.3,25828.75,25861.322127805863,25861.322127805863,0,0,0,0,25861.322127805863
1765950900,25828.25,25830.9,25812.8,25814.55,25860.593809068378,25860.593809068378,0,0,0,0,25860.593809068378
1765951200,25815.15,25822.75,25806.7,25813.9,25859.89405185001,25859.89405185001,0,0,0,0,25859.89405185001
1765951500,25813.6,25822.1,25812.35,25821.25,25859.221736091185,25859.221736091185,0,0,0,0,25859.221736091185
1765951800,25821.35,25834.4,25821.35,25827.95,25858.575785656238,25858.575785656238,0,0,0,0,25858.575785656238
1765952100,25828.3,25846.85,25824.45,25844.65,25857.955166610896,25857.955166610896,0,0,0,0,25857.955166610896
1765952400,25845.55,25851.3,25822.85,25829.65,25857.358885567333,25857.358885567333,0,0,0,0,25857.358885567333
1765952700,25829.7,25833.4,25816.25,25817.35,25856.785988094103,25856.785988094103,0,0,0,0,25856.785988094103
1765953000,25817.4,25818.1,25796.6,25797.7,25856.23555718845,25856.23555718845,0,0,0,0,25856.23555718845
1765953300,25797.6,25808.5,25789.05,25791.1,25855.70671180851,25855.70671180851,0,0,0,0,25855.70671180851
1765953600,25791.2,25808.55,25789.95,25796.4,25853.380958404254,25853.380958404254,0,0,0,0,25853.380958404254
1765953900,25796.25,25809.15,25794.55,25809.05,25851.146411015852,25851.146411015852,0,0,0,0,25851.146411015852
1765954200,25808.3,25808.75,25793.4,25795.9,25848.9994929368,25848.9994929368,0,0,0,0,25848.9994929368
1765954500,25794.6,25800.55,25784.95,25786.1,25846.936767723593,25846.936767723593,0,0,0,0,25846.936767723593
1765954800,25785.7,25795.85,25785.7,25793.7,25844.95493369522,25844.95493369522,0,0,0,0,25844.95493369522
1765955100,25794.1,25795.7,25783.75,25787.05,25843.050818648346,25843.050818648346,0,0,0,0,25843.050818648346
1765955400,25787.5,25795.15,25784.6,25793.95,25841.221374779783,25841.221374779783,0,0,0,0,25841.221374779783
1765955700,25795.3,25802.45,25791.9,25798.25,25839.463673808026,25839.463673808026,0,0,0,0,25839.463673808026
1765956000,25798.95,25812.85,25787.55,25787.55,25837.774902286143,25837.774902286143,0,0,0,0,25837.774902286143
1765956300,25787.85,25789.25,25780.4,25783.6,25836.15235709845,25836.15235709845,0,0,0,0,25836.15235709845
1765956600,25783.2,25795.15,25779.55,25793.85,25834.593441133806,25834.593441133806,0,0,0,0,25834.593441133806
1765956900,25794.9,25802.5,25793.95,25793.95,25833.095659128558,25833.095659128558,0,0,0,0,25833.095659128558
1765957200,25793.7,25798.75,25785.7,25791.4,25831.460535241164,25831.460535241164,0,0,0,0,25831.460535241164
1765957500,25791.45,25804.8,25788.65,25803.85,25829.889533859157,25829.889533859157,0,0,0,0,25829.889533859157
1765957800,25803.6,25810.2,25799.65,25809.45,25828.380140374484,25828.380140374484,0,0,0,0,25828.380140374484
1765958100,25808.65,25826.15,25808.35,25811.4,25826.92993879117,25826.92993879117,0,0,0,0,25826.92993879117
1765958400,25811.45,25815.5,25796.7,25799.25,25825.536607858183,25825.536607858183,0,0,0,0,25825.536607858183
1765958700,25800.05,25800.7,25788.95,25791.15,25824.19791735394,25824.19791735394,0,0,0,0,25824.19791735394
1765959000,25791.1,25795.15,25781.75,25786.55,25822.911724516533,25822.911724516533,0,0,0,0,25822.911724516533
1765959300,25786.5,25796.6,25786.5,25790.55,25821.675970613924,25821.675970613924,0,0,0,0,25821.675970613924
1765959600,25790.85,25794.6,25787.2,25793.6,25820.48867764867,25820.48867764867,0,0,0,0,25820.48867764867
1765959900,25794.65,25797.5,25780.9,25796.1,25819.34794519186,25819.34794519186,0,0,0,0,25819.34794519186
1765960200,25795.45,25798.4,25787,25793.75,25818.2519473412,25818.2519473412,0,0,0,0,25818.2519473412
1765960500,25793.35,25798.65,25790.85,25790.85,25817.198929798407,25817.198929798407,0,0,0,0,25817.198929798407
1765960800,25791.4,25800.25,25787.5,25798.55,25816.46759921808,25816.46759921808,0,0,0,0,25816.46759921808
1765961100,25798.5,25827.8,25797.25,25827.4,25815.76494826835,25815.76494826835,0,0,0,0,25815.76494826835
1765961400,25827.65,25832.65,25796.3,25797.4,25815.089852257825,25815.089852257825,1,0,0,0,25815.089852257825
1765961700,25797.55,25799.85,25787.7,25791.75,25814.441230600656,25814.441230600656,0,0,0,0,25814.441230600656
1765962000,25791.65,25811.85,25791,25810.5,25813.818045086904,25813.818045086904,0,0,0,0,25813.818045086904
1765962300,25811.1,25819.65,25772.9,25775.85,25813.219298220753,25813.219298220753,0,0,0,0,25813.219298220753
1765962600,25776.15,25794.35,25770.35,25792.6,25812.64403162386,25812.64403162386,0,0,0,0,25812.64403162386
1765962900,25793.25,25813.7,25790.9,25806.9,25812.091324501354,25812.091324501354,0,0,0,0,25812.091324501354
1765963200,25807.25,25823.7,25802.8,25812.9,25811.560292167967,25811.560292167967,0,0,0,0,25811.560292167967
1765963500,25812,25815.55,25804.75,25813.7,25811.05008463197,25811.05008463197,0,0,0,0,25811.05008463197
1765963800,25813.8,25831.55,25813.8,25824.6,25810.559885234637,25810.559885234637,0,0,0,0,25810.559885234637
1765964100,25825,25827.65,25817.2,25817.9,25810.08890934308,25810.08890934308,0,0,0,0,25810.08890934308
1765964400,25817.95,25820,25815.2,25816.35,25810.33444231002,25810.33444231002,0,0,0,0,25810.33444231002
1765964700,25816.25,25817.15,25809.2,25813.8,25810.570346533157,25810.570346533157,0,0,0,0,25810.570346533157
1765965000,25814.1,25826.9,25811.5,25824.6,25810.796999610287,25810.796999610287,0,0,0,0,25810.796999610287
1765965300,25825.95,25835.75,25821.4,25822.65,25811.261823154982,25811.261823154982,0,0,0,0,25811.261823154982
1766029500,25768.9,25827.15,25762.45,25777.75,25811.708418325376,25811.708418325376,0,0,0,0,25811.708418325376
1766029800,25777.8,25804.05,25770.2,25796.55,25812.137499959674,25812.137499959674,0,0,0,0,25812.137499959674
1766030100,25796.3,25804.35,25780.05,25780.05,25812.549754863216,25812.549754863216,0,0,0,0,25812.549754863216
1766030400,25780.15,25795.45,25774.9,25785.3,25812.945842907797,25812.945842907797,0,0,0,0,25812.945842907797
1766030700,25785.85,25787.6,25770.8,25774.55,25813.326398087884,25813.326398087884,0,0,0,0,25813.326398087884
1766031000,25776.1,25776.85,25742.6,25745.1,25813.692029535418,25813.692029535418,0,0,0,0,25813.692029535418
1766031300,25745.6,25747.75,25726.3,25740.75,25814.043322494814,25814.043322494814,0,0,0,0,25814.043322494814
1766031600,25741.05,25752.6,25734.65,25750.25,25814.380839259724,25814.380839259724,0,0,0,0,25814.380839259724
1766031900,25750.9,25756.25,25742.55,25748.75,25814.705120073068,25814.705120073068,0,0,0,0,25814.705120073068
1766032200,25748.7,25750.7,25736.7,25745.65,25815.01668399177,25815.01668399177,0,0,0,0,25815.01668399177
1766032500,25745.8,25775.35,25742.1,25774.55,25815.316029717582,25815.316029717582,0,0,0,0,25815.316029717582
1766032800,25775.25,25797.5,25768.75,25791.15,25814.368342277678,25814.368342277678,0,0,0,0,25814.368342277678
1766033100,25792.3,25824.2,25785.65,25823.4,25813.457819051102,25813.457819051102,0,0,0,0,25813.457819051102
1766033400,25824.35,25841.5,25816.05,25834.45,25812.583002617725,25812.583002617725,0,0,0,0,25812.583002617725
1766033700,25834.95,25835.1,25819.85,25829.75,25811.742492711146,25811.742492711146,0,0,0,0,25811.742492711146
1766034000,25830.55,25857.65,25826.7,25855.4,25810.934943977376,25810.934943977376,0,0,0,0,25810.934943977376
1766034300,25855.5,25856.5,25836.75,25843.35,25810.1590638214,25810.1590638214,0,0,0,0,25810.1590638214
1766034600,25842.6,25863.95,25841.6,25852.4,25809.413610338208,25809.413610338208,0,0,0,0,25809.413610338208
1766034900,25852.85,25858.85,25845.4,25846,25808.697390324945,25808.697390324945,0,0,0,0,25808.697390324945
1766035200,25846.6,25850.95,25836.45,25845.05,25808.009257371024,25808.009257371024,0,0,0,0,25808.009257371024
1766035500,25845.3,25851.35,25839.2,25850.05,25807.34811002314,25807.34811002314,0,0,0,0,25807.34811002314
1766035800,25849.6,25851.1,25825.8,25827.5,25806.712890022234,25806.712890022234,0,0,0,0,25806.712890022234
1766036100,25828.9,25839.2,25826.55,25835.95,25806.102580609597,25806.102580609597,0,0,0,0,25806.102580609597
1766036400,25835.8,25837,25830.1,25831.7,25807.10640097785,25807.10640097785,0,0,0,0,25807.10640097785
1766036700,25831.45,25832.05,25821.7,25824.9,25808.070855841463,25808.070855841463,0,0,0,0,25808.070855841463
1766037000,25825.2,25852.55,25823.9,25852,25808.99748894572,25808.99748894572,0,0,0,0,25808.99748894572
1766037300,25852.6,25856.7,25845.95,25855.35,25809.887783496866,25809.887783496866,0,0,0,0,25809.887783496866
1766037600,25855.4,25860.5,25851.8,25853.9,25810.743164536205,25810.743164536205,0,0,0,0,25810.743164536205
1766037900,25854.35,25860.45,25849.55,25859.75,25811.56500122106,25811.56500122106,0,0,0,0,25811.56500122106
1766038200,25860.2,25860.35,25848.5,25851.55,25812.354609016314,25812.354609016314,0,0,0,0,25812.354609016314
1766038500,25851.7,25853.5,25842.15,25851.75,25813.113251799987,25813.113251799987,0,0,0,0,25813.113251799987
1766038800,25852.05,25875.65,25850.15,25870,25813.84214388626,25813.84214388626,0,0,0,0,25813.84214388626
1766039100,25870.3,25879,25866.5,25866.95,25814.54245196915,25814.54245196915,0,0,0,0,25814.54245196915
1766039400,25867.15,25873.2,25860.8,25864.2,25815.21529698997,25815.21529698997,0,0,0,0,25815.21529698997
1766039700,25864,25875.15,25853.8,25873.5,25815.86175593154,25815.86175593154,0,0,0,0,25815.86175593154
1766040000,25873.75,25882.9,25868.35,25878.8,25818.329922365596,25818.329922365596,0,0,0,0,25818.329922365596
1766040300,25878.95,25884.8,25868,25868.7,25820.7012979591,25820.7012979591,0,0,0,0,25820.7012979591
