time,open,high,low,close,HTF MA,HTF MA
1766561400,4491.655,4492.315,4483.61,4484.05,4462.217399999997,4458.16727217924
1766563200,4484.04,4490.94,4478.205,4484.86,4462.217399999997,4458.16727217924
1766565000,4484.935,4492.705,4481.6,4482.505,4463.896999999997,4459.121692878093
1766566800,4482.51,4493.57,4482.1,4489.485,4463.896999999997,4459.121692878093
1766568600,4489.495,4496.26,4486.51,4494.895,4465.790699999997,4460.5245676671875
1766570400,4494.89,4500.035,4489.64,4494.285,4465.790699999997,4460.5245676671875
1766572200,4494.235,4494.795,4482.425,4489.695,4467.1951999999965,4461.6685061900425
1766574000,4489.71,4490.68,4484.965,4487.335,4467.1951999999965,4461.6685061900425
1766575800,4487.32,4492.17,4483.165,4491.77,4468.742699999997,4462.848956927688
1766577600,4491.77,4496.335,4490.92,4493.19,4468.742699999997,4462.848956927688
1766579400,4493.215,4493.62,4489.745,4490.765,4470.392399999996,4463.943703714837
1766581200,4490.8,4493.655,4474.72,4479.395,4470.392399999996,4463.943703714837
1766583000,4479.5,4489.015,4477.87,4488.29,4471.934199999996,4464.898460431902
1766584800,4488.135,4489.785,4482.21,4485.21,4471.934199999996,4464.898460431902
1766586600,4485.235,4489.035,4460.485,4464.975,4473.057899999996,4464.9014619835925
1766588400,4464.955,4476.745,4461.45,4469.805,4473.057899999996,4464.9014619835925
1766590200,4469.58,4473.085,4448.26,4458.685,4474.023199999996,4464.657679160707
1766592000,4458.715,4471.355,4456.12,4468.435,4474.023199999996,4464.657679160707
1766593800,4468.59,4478.265,4467.17,4476.87,4475.244399999996,4465.136593703424
1766595600,4476.88,4487.88,4475.545,4477.775,4475.244399999996,4465.136593703424
1766597400,4477.795,4483.59,4477.14,4480.745,4476.381999999996,4465.748688067996
1766599200,4480.765,4482.5,4477.405,4480.645,4476.381999999996,4465.748688067996
1766601000,4480.685,4481.945,4478.83,4479.415,4477.581399999996,4466.284621869251
1766703600,4502.625,4536.74,4484.195,4498.415,4477.581399999996,4466.284621869251
1766705400,4498.58,4500.155,4489.51,4495.405,4478.852799999996,4467.426597482222
