time,open,high,low,close,HTF MA,HTF MA
1776992400,4704.68,4711.23,4690.29,4699.4,4728.630999999991,4727.312337221867
1776996000,4699.415,4700.57,4673.05,4676.955,4727.777499999992,4725.337539683755
1776999600,4676.96,4678.435,4668.68,4672.38,4726.462299999992,4723.260773421646
1777003200,4672.37,4676.98,4658.03,4674.485,4725.151599999992,4721.347997993346
1777006800,4674.55,4687.245,4669.755,4686.555,4723.837299999992,4719.9835666994895
1777010400,4686.56,4688.255,4667.055,4671.975,4722.159899999992,4718.100877809314
1777014000,4671.895,4695.45,4671.085,4694.49,4720.884499999992,4717.174961032478
1777017600,4694.51,4697.55,4685.25,4690.915,4719.609499999992,4716.145158639048
1777021200,4690.925,4696.76,4679.35,4682.33,4717.899499999992,4714.819073986536
1777024800,4682.28,4686.33,4674.88,4677.935,4716.1000999999915,4713.372639712554
1777028400,4677.93,4717.44,4677.88,4706.87,4715.023899999991,4713.11763423363
1777032000,4706.855,4712.025,4690.36,4700.64,4713.892899999992,4712.6283152440765
1777035600,4700.71,4717.485,4689.665,4711.835,4713.022899999992,4712.597204842348
1777039200,4711.585,4740.57,4706.92,4726.435,4712.362899999992,4713.139863475982
1777042800,4726.485,4733.425,4715.125,4727.12,4711.894999999991,4713.688104123982
1777046400,4727.04,4729.76,4719.255,4726.98,4711.543799999991,4714.20935494265
1777050000,4726.99,4730.16,4719.17,4723.35,4710.950999999992,4714.567811611566
1777053600,4723.375,4724.975,4717.015,4722.91,4710.686999999992,4714.894956254249
1777057200,4722.94,4726.17,4713.785,4716.395,4710.461299999992,4714.953781499181
1777060800,4716.405,4717.595,4705.465,4709.75,4710.083899999991,4714.7497116364675
1777240800,4696.875,4697.365,4680.28,4684.6,4709.028699999992,4713.567370003665
1777244400,4684.54,4685.02,4675.21,4680.235,4707.797199999991,4712.2602182388155
1777248000,4680.22,4698.535,4672.405,4697.94,4706.948199999992,4711.69864105298
1777251600,4697.9,4710.08,4691.07,4702.77,4706.194499999991,4711.348498266589
1777255200,4702.815,4723.54,4696.38,4718.29,4706.038899999992,4711.62071402084
1777258800,4718.26,4729.63,4714.535,4724.23,4705.965899999992,4712.115195823944
1777262400,4724.17,4729.965,4722.615,4725,4705.510599999992,4712.620482262221
1777266000,4725.01,4725.59,4708.985,4710.325,4705.245999999992,4712.530463349977
1777269600,4710.315,4715.895,4709.44,4712.78,4705.519699999993,4712.540249100958
