time,open,high,low,close,HTF MA,HTF EMA
1728867600,2646.78,2660.41,2643.245,2659.27,2646.485857402581,2637.6411075939677
1728882000,2659.265,2666.875,2657.145,2659.455,2649.8338132966715,2639.048455491131
1728896400,2659.55,2663.06,2649.335,2651.41,2650.881080995757,2639.845974491703
1728910800,2651.415,2661.305,2644.055,2648.605,2650.4431508950643,2640.4110729115932
1728925200,2648.66,2653.365,2646.195,2648.785,2650.304196231826,2640.9513262721357
1728939600,2649.215,2651.02,2647.89,2648.255,2650.1112628612,2641.422531028772
1728954000,2648.25,2652.81,2642.99,2644.44,2649.483860797678,2641.6172064462708
1728968400,2644.445,2655.815,2638.105,2654,2649.415197693222,2642.416096352963
1728982800,2653.995,2657.51,2645.655,2648.335,2649.6744068945486,2642.7979611043847
1728997200,2648.32,2668.965,2646.11,2661.955,2651.893344355768,2644.03389909765
1729011600,2661.945,2666.525,2659.01,2662.695,2654.557764955309,2645.23784109135
1729026000,2662.285,2662.91,2658.8,2660.27,2655.7222929574377,2646.207657795134
1729040400,2660.285,2670.165,2660.19,2666.74,2658.4775500559595,2647.5323250341576
1729054800,2666.77,2680.18,2666.19,2679.58,2662.55717444555,2649.599916967438
1729069200,2679.565,2682.875,2673.055,2681.81,2666.360978839705,2651.6779868405065
1729083600,2681.82,2685.465,2666.795,2674.21,2667.888906591973,2653.131665108861
1729098000,2674.28,2676.76,2672.81,2673.93,2669.495874683171,2654.473493166354
1729112400,2674.605,2678.08,2673.33,2677.95,2670.5695195746316,2655.98810651046
1729126800,2677.925,2684.94,2674.6,2679.135,2672.8057875611544,2657.481454477527
1729141200,2679.13,2685.845,2678.145,2681.925,2675.002024255042,2659.058457414461
1729155600,2681.91,2688.84,2673.165,2680.68,2676.694626107182,2660.453395645786
1729170000,2680.715,2696.8,2677.88,2692.28,2680.417127371997,2662.506724958961
1729184400,2692.315,2694.27,2688.98,2693.01,2683.061016755216,2664.474678187415
1729198800,2693.045,2695.85,2692.395,2693.105,2684.906082630424,2666.3217957237107
1729213200,2693.115,2712.04,2692.915,2710.295,2690.4296354050734,2669.1587766447615
1729227600,2710.31,2714.14,2701.735,2706.32,2694.2517125532995,2671.5562749257447
1729242000,2706.375,2717.1,2706.285,2709.65,2698.134332263598,2674.0139346079545
1729256400,2709.64,2720.21,2705.035,2717.68,2702.323854040926,2676.8311001171187
1729270800,2717.69,2722.65,2713.67,2721.9,2706.3694619179428,2679.7387710773046
1729458000,2723.09,2725.9,2720.34,2721.75,2709.371793720141,2682.449172943285
1729472400,2721.725,2732.885,2721.1,2730.5,2714.1904523602334,2685.5492263017827
1729486800,2730.505,2733.175,2723.67,2731.43,2717.7666268182293,2688.509276217797
1729501200,2731.545,2739.83,2727.83,2738.7,2721.9008042076184,2691.747387429552
1729515600,2738.695,2740.6,2716.905,2723.59,2723.0064677584687,2693.8017495308713
1729530000,2723.605,2725.68,2714.235,2719.675,2722.2321686704227,2695.4709914966215
1729544400,2719.36,2725.215,2719.16,2724.73,2722.271910365645,2697.3586694645815
1729558800,2724.725,2735.955,2724.095,2734.815,2724.301667212033,2699.7752069184794
1729573200,2734.81,2738.5,2729.115,2734.955,2726.4963475734644,2702.044870988255
1729587600,2734.93,2739.395,2729.585,2736.28,2728.438595925926,2704.2535889890128
1729602000,2736.275,2745.605,2733.76,2745.39,2731.2386975554264,2706.9075509897216
1729616400,2745.395,2748.975,2743.595,2748.96,2735.0022190461286,2709.620612216191
1729630800,2747.33,2748.27,2744.85,2745.325,2737.0699644293927,2711.924121105469
1729645200,2745.335,2750.725,2737.94,2750.025,2738.6453251973535,2714.382242324471
1729659600,2750.02,2758.525,2748.2,2757,2742.1769104881314,2717.131775077731
1729674000,2757.01,2757.63,2740.84,2743.405,2743.66963648575,2718.8268218469098
1729688400,2743.41,2744.235,2708.755,2719.435,2739.009520317651,2718.866059147109
1729702800,2719.43,2720.725,2712.055,2715.59,2733.5436456450784,2718.654700492457
1729717200,2716.415,2721.96,2716.215,2721.275,2731.14558234493,2718.823752073589
1729731600,2721.29,2727.225,2720.315,2726.61,2729.5450547486244,2719.326090649486
1729746000,2726.595,2737.965,2725.94,2736.855,2730.559551063443,2720.4569880269387
1729760400,2736.875,2741.675,2734.65,2739.135,2732.271459182523,2721.662021057459
1729774800,2739.16,2743.325,2722.505,2733.68,2732.3883083893857,2722.437374537623
1729789200,2733.7,2737.845,2732.935,2736.08,2733.2621729619063,2723.3175439222923
1729803600,2735.95,2736.02,2731.335,2732.505,2733.329698109091,2723.91028302408
1729818000,2732.5,2735.175,2723.99,2725.98,2731.97572897454,2724.043813151559
1729832400,2726.05,2732.67,2718.91,2719.49,2730.6825780733107,2723.750018754684
1729846800,2719.46,2732.525,2717.1,2731.57,2729.3854310538354,2724.2545336737367
1729861200,2731.615,2742.135,2725.32,2739.255,2730.929903316966,2725.222305694786
1729875600,2739.265,2747.835,2738.875,2747.215,2734.029772228165,2726.641189198348
1730062800,2734.065,2740.33,2730.335,2732.525,2734.07631985743,2727.020789895229
1730077200,2732.515,2735.64,2724.755,2733.015,2733.6694138466614,2727.407513127795
1730091600,2733.075,2744.65,2731.225,2732.065,2734.5342101423576,2727.7079961518084
1730106000,2732.06,2734.93,2727.93,2734.37,2733.9882738819115,2728.1378028516915
1730120400,2734.305,2746.01,2732.855,2742.77,2735.914213038439,2729.081815570937
1730134800,2742.765,2745.025,2740.24,2742.325,2737.4701030101537,2729.9362145663604
1730149200,2741.45,2746.895,2739.87,2745.835,2738.700131325388,2730.9619426588533
1730163600,2745.84,2757.78,2745.625,2754.815,2742.053377415296,2732.5008495840884
1730178000,2754.905,2756.875,2746.415,2754.715,2744.703277610003,2733.9340205786634
1730192400,2754.72,2756.665,2746.195,2749.26,2746.1424467784495,2734.922793444556
