entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,layer
2026-03-26 13:30:00+00:00,2026-03-26 13:45:00+00:00,SHORT,4441.87,4458.67,4458.67,-75.0,SL,False,Normal
2026-03-27 13:50:00+00:00,2026-03-27 14:00:00+00:00,SHORT,4425.66,4439.35,4439.35,-75.0,SL,False,Normal
2026-04-07 13:55:00+00:00,2026-04-07 14:00:00+00:00,SHORT,4643.41,4659.14,4643.41,0.0,BE,False,Normal
2026-04-16 13:30:00+00:00,2026-04-16 13:45:00+00:00,LONG,4821.73,4809.88,4809.88,-75.0,SL,False,Normal
2026-04-20 14:10:00+00:00,2026-04-20 14:50:00+00:00,LONG,4816.11,4802.4,4802.4,-75.0,SL,False,Normal
2026-04-20 17:30:00+00:00,2026-04-20 18:10:00+00:00,SHORT,4804.99,4814.87,4814.87,-75.0,SL,False,Normal
2026-04-21 13:55:00+00:00,2026-04-21 14:40:00+00:00,SHORT,4778.9,4790.73,4755.24,131.25,T2,True,Normal
2026-04-23 13:55:00+00:00,2026-04-23 14:55:00+00:00,SHORT,4724.15,4735.95,4735.95,-75.0,SL,False,Normal
2026-04-28 16:15:00+00:00,2026-04-28 17:40:00+00:00,SHORT,4580.34,4599.31,4599.31,-75.0,SL,False,Normal
2026-05-04 14:40:00+00:00,2026-05-04 15:15:00+00:00,SHORT,4574.29,4587.82,4547.23,131.25,T2,True,Normal
2026-05-12 13:45:00+00:00,2026-05-12 14:00:00+00:00,SHORT,4692.22,4706.0,4692.22,0.0,BE,False,Normal
2026-05-14 14:30:00+00:00,2026-05-14 14:55:00+00:00,SHORT,4688.0,4694.85,4688.0,0.0,BE,False,Normal
2025-12-01 09:55:00+00:00,2025-12-01 10:00:00+00:00,LONG,4249.77,4241.41,4249.77,0.0,BE,False,5M
2025-12-01 16:30:00+00:00,2025-12-02 01:05:00+00:00,SHORT,4231.12,4244.89,4203.58,131.25,T2,True,5M
