time,open,high,low,close,HTF EMA,HTF MA
1776637200,4791.465,4793.765,4783.97,4784.405,4852.568317190438,4825.10798691238
1776637500,4784.445,4789.02,4783.93,4785.075,4851.746422398656,4825.10798691238
1776637800,4785.06,4790.68,4784.46,4785.5,4850.95675877518,4825.10798691238
1776638100,4785.47,4787.095,4782.91,4784.255,4850.198062352624,4825.10798691238
1776638400,4784.21,4784.575,4779.205,4780.46,4849.469118730953,4825.10798691238
1776638700,4780.43,4785.69,4780.255,4785.355,4848.7687611336605,4825.10798691238
1776639000,4785.345,4786.795,4782.125,4782.125,4848.095868540184,4825.10798691238
1776639300,4782.085,4783.16,4777.875,4779.365,4845.400540362138,4822.156826466419
1776639600,4779.36,4779.465,4772.75,4776.035,4842.810911328328,4822.156826466419
1776639900,4776.02,4777.29,4771.94,4775.775,4840.3228363742755,4822.156826466419
1776640200,4775.765,4778.955,4772.23,4772.43,4837.932332987049,4822.156826466419
1776640500,4772.435,4776.255,4770.975,4773.195,4835.635574830694,4822.156826466419
1776640800,4773.135,4773.17,4768.805,4770.935,4833.428885621647,4822.156826466419
1776641100,4770.945,4772.355,4768.4,4769.42,4831.308733244327,4822.156826466419
1776641400,4769.43,4773.685,4768.28,4771.64,4829.271724097491,4822.156826466419
1776641700,4771.63,4771.795,4759.33,4764.245,4827.3145976622955,4822.156826466419
1776642000,4764.245,4766.485,4746.025,4752.525,4825.434221283382,4822.156826466419
1776642300,4752.46,4752.47,4736.83,4743.995,4823.627585154622,4822.156826466419
1776642600,4743.99,4752.795,4743.835,4752.595,4821.891797501499,4822.156826466419
1776642900,4752.57,4755.525,4750.15,4755.365,4819.282903481832,4817.847676371812
1776643200,4755.285,4755.285,4744.515,4750.015,4816.7763190315645,4817.847676371812
1776643500,4750.05,4754.645,4747.075,4752.25,4814.368032010719,4817.847676371812
1776643800,4752.29,4755.225,4749.28,4752.285,4812.054187618141,4817.847676371812
1776644100,4752.345,4759.19,4751.955,4758.365,4809.831082221352,4817.847676371812
1776644400,4758.145,4763.05,4756.835,4762.755,4807.695157428358,4817.847676371812
1776644700,4762.695,4766.145,4762.075,4765.625,4805.642994391951,4817.847676371812
1776645000,4765.605,4768.345,4761.955,4766.08,4803.671308337365,4817.847676371812
1776645300,4766.07,4766.45,4761.255,4765.28,4801.776943304528,4817.847676371812
1776645600,4765.25,4766.085,4763.85,4764.305,4799.956867096507,4817.847676371812
1776645900,4764.35,4768.135,4762.71,4764.62,4798.208166426056,4817.847676371812
1776646200,4764.675,4765.17,4759.82,4763.665,4796.528042252485,4817.847676371812
1776646500,4763.69,4774.685,4761.59,4772.815,4795.598119026897,4814.94234241234
1776646800,4772.8,4788.915,4771.44,4788.08,4794.704663378783,4814.94234241234
1776647100,4788.075,4789.645,4781.46,4788.46,4793.846245207066,4814.94234241234
1776647400,4788.44,4794.63,4786.575,4794.05,4793.0214904930635,4814.94234241234
1776647700,4794.13,4795.045,4788.84,4792.69,4792.229079101178,4814.94234241234
1776648000,4793.115,4798.57,4792.045,4797.34,4791.467742665838,4814.94234241234
1776648300,4797.48,4803.925,4796.14,4802.98,4790.736262561296,4814.94234241234
1776648600,4802.87,4812.345,4801.43,4807.62,4790.033467951049,4814.94234241234
1776648900,4807.655,4810.05,4803.14,4808.22,4789.358233913753,4814.94234241234
1776649200,4807.96,4810.385,4805.9,4806.7,4788.709479642625,4814.94234241234
1776649500,4806.725,4813.83,4806.02,4810.405,4788.086166715464,4814.94234241234
1776649800,4810.455,4814.46,4808.32,4813.145,4787.487297432504,4814.94234241234
1776650100,4813.15,4813.71,4807.415,4807.795,4788.283677925348,4814.481223547027
1776650400,4807.805,4809.18,4804.185,4804.49,4789.048827810628,4814.481223547027
1776650700,4804.51,4805.89,4803.05,4803.235,4789.783971818054,4814.481223547027
1776651000,4803.23,4804.83,4800.83,4801.09,4790.490286648718,4814.481223547027
1776651300,4801.055,4802.47,4799.81,4801.02,4791.168902858572,4814.481223547027
1776651600,4800.89,4804.065,4798.46,4803.505,4791.82090666804,4814.481223547027
1776651900,4803.7,4803.79,4799.075,4800.51,4792.447341700666,4814.481223547027
1776652200,4800.505,4802.055,4798.57,4801.78,4793.04921065358,4814.481223547027
1776652500,4801.73,4802.05,4795.915,4796.78,4793.627476902459,4814.481223547027
1776652800,4796.77,4798.18,4794.805,4796.3,4794.18306604354,4814.481223547027
1776653100,4796.35,4797.485,4793.26,4795.345,4794.716867375166,4814.481223547027
1776653400,4795.34,4797.4,4793.5,4795.83,4795.229735321238,4814.481223547027
1776653700,4795.81,4797.645,4793.28,4797.395,4795.314647661581,4813.378886543993
1776654000,4797.37,4798.415,4794.47,4795.045,4795.396230106225,4813.378886543993
1776654300,4795.035,4797.87,4793.805,4793.805,4795.474613239314,4813.378886543993
1776654600,4793.78,4793.78,4790.49,4791.55,4795.549922524046,4813.378886543993
1776654900,4791.555,4793.07,4788.875,4791.84,4795.622278503495,4813.378886543993
1776655200,4791.83,4795.305,4791.83,4795.075,4795.691796993554,4813.378886543993
1776655500,4795.06,4795.995,4793.355,4795.29,4795.758589268316,4813.378886543993
1776655800,4795.18,4796.855,4789.975,4792.345,4795.822762238186,4813.378886543993
1776656100,4792.34,4794.795,4790.835,4794.375,4795.884418621003,4813.378886543993
1776656400,4794.32,4795.285,4792.22,4793.55,4795.943657106453,4813.378886543993
1776656700,4793.54,4793.71,4791.59,4792.44,4796.000572514044,4813.378886543993
1776657000,4792.405,4794.915,4790.955,4791.48,4796.055255944865,4813.378886543993
1776657300,4791.455,4792.15,4789.29,4791.02,4795.8577949274195,4811.9363777347035
1776657600,4791.04,4793.855,4790.995,4793.635,4795.668077479286,4811.9363777347035
1776657900,4793.645,4795.94,4792.69,4794.82,4795.485799931079,4811.9363777347035
1776658200,4794.815,4795.345,4792.56,4793.11,4795.310670522017,4811.9363777347035
1776658500,4793.115,4795.02,4792.055,4793.35,4795.142408932918,4811.9363777347035
1776658800,4793.395,4794.19,4791.67,4794.075,4794.98074583751,4811.9363777347035
1776659100,4794.08,4795.845,4792.97,4794.75,4794.825422471333,4811.9363777347035
1776659400,4794.845,4794.855,4788.525,4789.405,4794.676190217555,4811.9363777347035
1776659700,4789.43,4791.135,4788.595,4790.885,4794.532810209023,4811.9363777347035
1776660000,4790.965,4791.695,4787.245,4787.34,4794.395052945924,4811.9363777347035
1776660300,4787.38,4793.475,4787.38,4792.925,4794.262697928437,4811.9363777347035
1776660600,4792.91,4793.165,4788.795,4788.92,4794.135533303793,4811.9363777347035
1776660900,4788.87,4789.97,4787.6,4789.035,4793.935512389919,4810.458869493755
1776661200,4789.06,4793.295,4787.53,4790.295,4793.743335433451,4810.458869493755
1776661500,4790.235,4791.585,4786.57,4787.085,4793.558694828217,4810.458869493755
1776661800,4787.045,4788.94,4784.45,4786.425,4793.381295031032,4810.458869493755
1776662100,4786.41,4789.54,4786.365,4787.83,4793.210852088639,4810.458869493755
1776662400,4787.77,4788.795,4786.42,4787.44,4793.0470931832015,4810.458869493755
1776662700,4787.425,4789,4785.42,4788.015,4792.889756195625,4810.458869493755
1776663000,4788.005,4796.36,4787.71,4794.885,4792.738589285992,4810.458869493755
1776663300,4794.88,4796.115,4792.355,4792.865,4792.593350490463,4810.458869493755
1776663600,4792.875,4794.495,4779.54,4781.14,4792.4538073339745,4810.458869493755
1776663900,4781.145,4785.985,4781.095,4785.82,4792.319736458132,4810.458869493755
1776664200,4785.865,4791.59,4782.67,4790.75,4792.190923263695,4810.458869493755
1776664500,4790.7,4793.285,4789.645,4791.085,4792.147553723943,4809.208942429642
