entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit
2026-02-12 13:10:00+00:00,2026-02-12 14:10:00+00:00,LONG,5065.22,5054.56,5065.22,56.25,BE,True
2026-02-13 14:35:00+00:00,2026-02-13 14:40:00+00:00,SHORT,4987.71,4996.73,4969.67,131.25,T2,True
2026-02-13 15:45:00+00:00,2026-02-13 15:50:00+00:00,SHORT,4994.14,4996.73,4988.96,131.25,T2,True
2026-02-17 13:00:00+00:00,2026-02-17 13:55:00+00:00,SHORT,4927.01,4938.77,4903.49,131.25,T2,True
2026-02-23 14:10:00+00:00,2026-02-23 14:35:00+00:00,LONG,5156.63,5145.98,5177.93,131.25,T2,True
2026-03-02 13:00:00+00:00,2026-03-02 13:10:00+00:00,LONG,5401.14,5385.82,5385.82,-75.0,SL,False
2026-03-02 13:20:00+00:00,2026-03-02 14:00:00+00:00,LONG,5405.44,5385.82,5385.82,-75.0,SL,False
2026-03-04 14:35:00+00:00,2026-03-04 17:20:00+00:00,SHORT,5171.81,5197.58,5120.27,131.25,T2,True
2026-03-11 13:55:00+00:00,2026-03-11 14:40:00+00:00,LONG,5176.3,5161.84,5176.3,0.0,BE,False
2026-03-19 15:15:00+00:00,2026-03-19 19:05:00+00:00,SHORT,4608.49,4653.33,4653.33,-75.0,SL,False
2026-03-23 14:50:00+00:00,2026-03-23 15:45:00+00:00,SHORT,4462.85,4491.64,4405.27,131.25,T2,True
2026-03-24 17:00:00+00:00,2026-03-24 18:25:00+00:00,SHORT,4407.7,4435.72,4407.7,0.0,BE,False
2026-03-25 13:00:00+00:00,2026-03-25 14:00:00+00:00,LONG,4567.1,4539.79,4539.79,-75.0,SL,False
2026-03-26 13:30:00+00:00,2026-03-26 13:45:00+00:00,SHORT,4441.87,4458.67,4458.67,-75.0,SL,False
2026-03-26 14:40:00+00:00,2026-03-26 14:45:00+00:00,SHORT,4460.25,4458.67,4457.09,131.25,T2,True
2026-03-26 14:50:00+00:00,2026-03-26 14:55:00+00:00,SHORT,4448.92,4458.67,4458.67,-75.0,SL,False
2026-03-26 15:05:00+00:00,2026-03-26 15:10:00+00:00,SHORT,4454.13,4458.67,4458.67,-75.0,SL,False
2026-03-26 15:30:00+00:00,2026-03-26 16:20:00+00:00,SHORT,4441.78,4458.67,4408.0,131.25,T2,True
2026-03-27 13:50:00+00:00,2026-03-27 14:00:00+00:00,SHORT,4425.66,4439.35,4439.35,-75.0,SL,False
2026-04-07 13:55:00+00:00,2026-04-07 14:00:00+00:00,SHORT,4643.41,4659.14,4643.41,0.0,BE,False
2026-04-07 14:40:00+00:00,2026-04-07 15:15:00+00:00,SHORT,4646.36,4659.14,4646.36,56.25,BE,True
2026-04-07 15:30:00+00:00,2026-04-07 16:00:00+00:00,SHORT,4645.88,4659.14,4659.14,-75.0,SL,False
2026-04-07 17:15:00+00:00,2026-04-07 17:25:00+00:00,SHORT,4656.04,4659.14,4659.14,-75.0,SL,False
2026-04-16 13:30:00+00:00,2026-04-16 13:45:00+00:00,LONG,4821.73,4809.88,4809.88,-75.0,SL,False
2026-04-20 14:10:00+00:00,2026-04-20 14:50:00+00:00,LONG,4816.11,4802.4,4802.4,-75.0,SL,False
2026-04-20 17:30:00+00:00,2026-04-20 18:10:00+00:00,SHORT,4804.99,4814.87,4814.87,-75.0,SL,False
2026-04-21 13:55:00+00:00,2026-04-21 14:40:00+00:00,SHORT,4778.9,4790.73,4755.24,131.25,T2,True
2026-04-23 13:05:00+00:00,2026-04-23 13:45:00+00:00,SHORT,4727.01,4735.95,4735.95,-75.0,SL,False
2026-04-23 13:55:00+00:00,2026-04-23 14:55:00+00:00,SHORT,4724.15,4735.95,4735.95,-75.0,SL,False
2026-04-23 15:40:00+00:00,2026-04-23 16:30:00+00:00,SHORT,4727.89,4735.95,4727.89,56.25,BE,True
2026-04-23 17:00:00+00:00,2026-04-23 17:05:00+00:00,SHORT,4725.01,4735.95,4725.01,0.0,BE,False
2026-04-28 16:15:00+00:00,2026-04-28 17:40:00+00:00,SHORT,4580.34,4599.31,4599.31,-75.0,SL,False
2026-04-28 17:50:00+00:00,2026-04-28 17:55:00+00:00,SHORT,4597.08,4599.31,4597.08,0.0,BE,False
2026-05-04 14:40:00+00:00,2026-05-04 15:15:00+00:00,SHORT,4574.29,4587.82,4547.23,131.25,T2,True
2026-05-12 13:00:00+00:00,2026-05-12 13:35:00+00:00,SHORT,4695.96,4706.0,4695.96,56.25,BE,True
2026-05-12 13:45:00+00:00,2026-05-12 14:00:00+00:00,SHORT,4692.22,4706.0,4692.22,0.0,BE,False
2026-05-14 13:15:00+00:00,2026-05-14 14:15:00+00:00,SHORT,4692.71,4706.34,4692.71,56.25,BE,True
2026-05-14 14:25:00+00:00,2026-05-14 14:40:00+00:00,SHORT,4691.23,4694.85,4691.23,0.0,BE,False
2026-05-15 14:45:00+00:00,2026-05-15 14:50:00+00:00,SHORT,4550.97,4554.35,4554.35,-18.75,SL,True
2026-05-15 15:00:00+00:00,2026-05-15 15:05:00+00:00,SHORT,4553.85,4554.35,4552.85,131.25,T2,True
2026-05-15 15:10:00+00:00,2026-05-15 15:15:00+00:00,SHORT,4552.36,4554.35,4548.38,131.25,T2,True
2026-05-15 15:20:00+00:00,2026-05-15 16:40:00+00:00,SHORT,4545.58,4554.35,4545.58,56.25,BE,True
