tf,setup,setup_name,direction,entry_time,exit_time,entry_price,exit_price,sl,tp,exit_reason,pnl_r,pnl_usd,equity,session
5M,5,Fib-Reject,LONG,2024-06-12 14:10:00+00:00,2024-06-12 18:10:00+00:00,2326.57,2326.57,2317.252,2345.2060000000006,SL,-0.0,-0.0,4866.17,NY
5M,1,50min-Wait,SHORT,2024-06-13 17:45:00+00:00,2024-06-13 23:40:00+00:00,2300.95,2302.24,2306.53,2289.789999999999,time-stop,-0.231,-5.62,4860.55,NY
5M,3,Liq-Sweep,LONG,2024-06-14 15:55:00+00:00,2024-06-14 16:00:00+00:00,2326.07,2326.07,2324.16,2329.890000000001,SL,-0.0,-0.0,4860.55,NY
5M,5,Fib-Reject,LONG,2024-06-17 13:00:00+00:00,2024-06-17 13:10:00+00:00,2320.73,2322.5912000000003,2319.7994,2322.5912000000003,TP,2.0,48.61,4909.15,NY
5M,5,Fib-Reject,SHORT,2024-06-17 13:40:00+00:00,2024-06-17 13:50:00+00:00,2319.78,2321.2166000000007,2321.2166000000007,2316.9067999999993,SL,-1.0,-24.55,4884.61,NY
5M,5,Fib-Reject,SHORT,2024-06-17 14:00:00+00:00,2024-06-17 14:15:00+00:00,2319.55,2321.2166000000007,2321.2166000000007,2316.2167999999992,SL,-1.0,-24.42,4860.18,NY
5M,3,Liq-Sweep,LONG,2024-06-19 14:10:00+00:00,2024-06-19 14:40:00+00:00,2326.32,2324.83,2324.83,2329.3000000000006,SL,-1.0,-24.3,4835.88,NY
5M,1,50min-Wait,LONG,2024-06-20 13:20:00+00:00,2024-06-20 13:25:00+00:00,2338.52,2338.52,2337.81,2339.94,SL,-0.0,-0.0,4835.88,NY
5M,1,50min-Wait,LONG,2024-06-20 13:35:00+00:00,2024-06-20 13:40:00+00:00,2340.37,2344.21,2337.81,2345.49,partial-TP,1.5,36.27,4872.15,NY
5M,2,Zone-Pyramid,LONG,2024-06-20 16:10:00+00:00,2024-06-20 16:15:00+00:00,2354.4500000000003,2355.3499999999995,2355.0499999999997,2353.2500000000014,partial-TP,1.5,109.62,4981.78,NY
5M,3,Liq-Sweep,LONG,2024-06-21 13:00:00+00:00,2024-06-21 13:10:00+00:00,2360.97,2363.3999999999996,2359.35,2364.2099999999996,partial-TP,1.5,37.36,5019.14,NY
5M,5,Fib-Reject,SHORT,2024-06-26 13:05:00+00:00,2024-06-26 18:05:00+00:00,2306.25,2301.29,2315.1934,2288.3632,time-stop,0.555,13.92,5033.06,NY
5M,5,Fib-Reject,LONG,2024-06-27 16:20:00+00:00,2024-06-27 22:15:00+00:00,2325.81,2325.9,2321.812,2333.806,time-stop,0.023,0.57,5033.62,NY
5M,3,Liq-Sweep,LONG,2024-06-28 13:50:00+00:00,2024-06-28 14:20:00+00:00,2329.17,2329.17,2326.45,2334.6100000000006,SL,-0.0,-0.0,5033.62,NY
5M,3,Liq-Sweep,LONG,2024-06-28 15:25:00+00:00,2024-06-28 15:55:00+00:00,2328.25,2328.25,2326.3599999999997,2332.0300000000007,SL,-0.0,-0.0,5033.62,NY
5M,5,Fib-Reject,LONG,2024-07-01 13:00:00+00:00,2024-07-01 14:20:00+00:00,2329.1,2325.2603999999997,2325.2603999999997,2336.7792000000004,SL,-1.0,-25.17,5008.46,NY
5M,1,50min-Wait,LONG,2024-07-03 15:40:00+00:00,2024-07-03 16:45:00+00:00,2362.7200000000003,2357.8799999999997,2357.8799999999997,2372.4000000000015,SL,-1.0,-25.04,4983.41,NY
5M,2,Zone-Pyramid,LONG,2024-07-04 14:55:00+00:00,2024-07-04 15:00:00+00:00,2358.8900000000003,2358.41,2358.41,2359.8500000000013,SL,-1.0,-74.75,4908.66,NY
5M,5,Fib-Reject,LONG,2024-07-04 15:25:00+00:00,2024-07-04 15:45:00+00:00,2359.2,2357.9766,2357.9766,2361.6467999999995,SL,-1.0,-24.54,4884.12,NY
5M,5,Fib-Reject,SHORT,2024-07-08 13:45:00+00:00,2024-07-08 13:55:00+00:00,2370.66,2375.7150000000006,2375.7150000000006,2360.5499999999984,SL,-1.0,-24.42,4859.7,NY
5M,3,Liq-Sweep,SHORT,2024-07-09 13:40:00+00:00,2024-07-09 13:50:00+00:00,2365.21,2366.92,2366.92,2361.79,SL,-1.0,-24.3,4835.4,NY
5M,5,Fib-Reject,SHORT,2024-07-09 16:10:00+00:00,2024-07-09 18:45:00+00:00,2360.69,2364.5463000000004,2364.5463000000004,2352.9773999999993,SL,-1.0,-24.18,4811.22,NY
5M,3,Liq-Sweep,LONG,2024-07-10 14:40:00+00:00,2024-07-10 16:40:00+00:00,2376.87,2376.87,2373.9,2382.8099999999995,SL,-0.0,-0.0,4811.22,NY
5M,5,Fib-Reject,LONG,2024-07-10 17:00:00+00:00,2024-07-10 17:15:00+00:00,2378.15,2375.4078,2375.4078,2383.6344000000004,SL,-1.0,-24.06,4787.17,NY
5M,5,Fib-Reject,LONG,2024-07-12 13:05:00+00:00,2024-07-12 15:10:00+00:00,2403.82,2411.3054500000007,2398.8297,2413.800600000001,partial-TP,1.5,35.9,4823.07,NY
5M,5,Fib-Reject,LONG,2024-07-15 17:40:00+00:00,2024-07-15 23:35:00+00:00,2422.8,2421.35,2417.5496,2433.300800000001,time-stop,-0.276,-6.66,4816.41,NY
5M,5,Fib-Reject,LONG,2024-07-16 13:05:00+00:00,2024-07-16 13:40:00+00:00,2436.23,2443.6919,2431.2554,2446.1792,partial-TP,1.5,36.12,4852.53,NY
5M,2,Zone-Pyramid,LONG,2024-07-16 16:50:00+00:00,2024-07-16 16:55:00+00:00,2459.89,2459.66,2459.66,2460.35,SL,-1.0,-72.79,4779.75,NY
5M,5,Fib-Reject,LONG,2024-07-18 13:00:00+00:00,2024-07-18 13:10:00+00:00,2465.59,2462.478,2462.478,2471.8140000000003,SL,-1.0,-23.9,4755.85,NY
5M,3,Liq-Sweep,LONG,2024-07-18 13:20:00+00:00,2024-07-18 13:30:00+00:00,2463.55,2460.85,2460.85,2468.9500000000007,SL,-1.0,-23.78,4732.07,NY
5M,1,50min-Wait,SHORT,2024-07-19 14:20:00+00:00,2024-07-19 15:05:00+00:00,2400.67,2405.11,2405.11,2391.79,SL,-1.0,-23.66,4708.41,NY
5M,2,Zone-Pyramid,SHORT,2024-07-22 17:25:00+00:00,2024-07-22 18:20:00+00:00,2393.14,2394.5800000000004,2394.5800000000004,2390.259999999999,SL,-1.0,-70.63,4637.78,NY
5M,5,Fib-Reject,SHORT,2024-07-23 14:50:00+00:00,2024-07-23 15:45:00+00:00,2403.03,2406.9602000000004,2406.9602000000004,2395.1695999999997,SL,-1.0,-23.19,4614.59,NY
5M,5,Fib-Reject,LONG,2024-07-24 16:45:00+00:00,2024-07-24 17:00:00+00:00,2421.03,2417.9665999999997,2417.9665999999997,2427.156800000001,SL,-1.0,-23.07,4591.52,NY
5M,1,50min-Wait,SHORT,2024-07-25 17:10:00+00:00,2024-07-25 17:20:00+00:00,2363.11,2361.505,2364.1800000000003,2360.97,partial-TP,1.5,34.44,4625.96,NY
5M,5,Fib-Reject,LONG,2024-07-29 14:20:00+00:00,2024-07-29 14:35:00+00:00,2391.15,2387.6423,2387.6423,2398.1654000000003,SL,-1.0,-23.13,4602.83,NY
5M,5,Fib-Reject,LONG,2024-07-30 14:20:00+00:00,2024-07-30 15:20:00+00:00,2392.35,2388.1217,2388.1217,2400.8065999999994,SL,-1.0,-23.01,4579.81,NY
5M,3,Liq-Sweep,LONG,2024-07-30 15:30:00+00:00,2024-07-30 15:40:00+00:00,2387.68,2384.8799999999997,2384.8799999999997,2393.28,SL,-1.0,-22.9,4556.91,NY
5M,5,Fib-Reject,LONG,2024-07-31 15:30:00+00:00,2024-07-31 16:25:00+00:00,2422.69,2426.4943000000003,2420.1538,2427.7624,partial-TP,1.5,34.18,4591.09,NY
5M,5,Fib-Reject,LONG,2024-08-01 14:55:00+00:00,2024-08-01 17:25:00+00:00,2448.59,2436.7603999999997,2436.7603999999997,2472.249200000001,SL,-1.0,-22.96,4568.13,NY
5M,3,Liq-Sweep,LONG,2024-08-02 13:15:00+00:00,2024-08-02 14:00:00+00:00,2463.07,2472.6550000000007,2456.68,2475.850000000001,partial-TP,1.5,34.26,4602.39,NY
5M,2,Zone-Pyramid,SHORT,2024-08-05 14:25:00+00:00,2024-08-05 14:35:00+00:00,2388.57,2391.51,2391.51,2382.69,SL,-1.0,-69.04,4533.36,NY
5M,5,Fib-Reject,SHORT,2024-08-07 14:40:00+00:00,2024-08-07 15:45:00+00:00,2400.48,2394.0103499999996,2404.7931000000003,2391.8537999999994,partial-TP,1.5,34.0,4567.36,NY
5M,5,Fib-Reject,SHORT,2024-08-07 17:00:00+00:00,2024-08-07 17:20:00+00:00,2397.9,2393.13075,2401.0795000000003,2391.5409999999997,partial-TP,1.5,34.26,4601.61,NY
5M,2,Zone-Pyramid,LONG,2024-08-08 15:30:00+00:00,2024-08-08 22:30:00+00:00,2417.14,2424.73,2409.37,2432.68,time-stop,0.977,67.43,4669.04,NY
5M,5,Fib-Reject,LONG,2024-08-09 16:25:00+00:00,2024-08-11 22:15:00+00:00,2429.95,2431.29,2423.6845,2442.4809999999998,time-stop,0.214,4.99,4674.03,NY
