entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,tf
2025-09-12 13:00:00+00:00,2025-09-14 23:15:00+00:00,LONG,3649.28,3638.68,3638.68,-75.0,SL,False,15M
2025-09-18 13:00:00+00:00,2025-09-22 06:30:00+00:00,SHORT,3658.38,3707.35,3707.35,-75.0,SL,False,15M
2025-09-24 13:00:00+00:00,2025-09-24 13:30:00+00:00,LONG,3771.51,3763.01,3763.01,-75.0,SL,False,15M
2025-10-10 13:45:00+00:00,2025-10-10 15:00:00+00:00,SHORT,3979.12,3994.27,3994.27,-75.0,SL,False,15M
2025-10-15 13:00:00+00:00,2025-10-15 13:15:00+00:00,LONG,4195.4,4194.31,4197.58,131.25,T2,True,15M
2025-10-15 14:00:00+00:00,2025-10-15 14:30:00+00:00,LONG,4208.48,4194.31,4194.31,-75.0,SL,False,15M
2025-10-15 16:15:00+00:00,2025-10-15 16:30:00+00:00,LONG,4196.9,4194.31,4194.31,-75.0,SL,False,15M
2025-10-15 16:45:00+00:00,2025-10-15 17:00:00+00:00,LONG,4198.76,4194.31,4194.31,-75.0,SL,False,15M
2025-10-15 17:45:00+00:00,2025-10-15 18:00:00+00:00,LONG,4197.62,4194.31,4204.24,131.25,T2,True,15M
2025-11-06 13:00:00+00:00,2025-11-06 14:15:00+00:00,LONG,4011.59,3997.42,3997.42,-75.0,SL,False,15M
2025-11-07 14:00:00+00:00,2025-11-07 14:30:00+00:00,LONG,4002.55,3993.27,3993.27,-75.0,SL,False,15M
2025-11-07 17:45:00+00:00,2025-11-10 01:15:00+00:00,LONG,4005.17,3993.27,4028.97,131.25,T2,True,15M
2025-11-17 13:15:00+00:00,2025-11-17 17:15:00+00:00,SHORT,4076.21,4089.28,4076.21,56.25,BE,True,15M
2025-11-20 14:30:00+00:00,2025-11-20 16:45:00+00:00,LONG,4088.7,4055.41,4055.41,-75.0,SL,False,15M
2025-11-27 14:00:00+00:00,2025-11-28 08:15:00+00:00,LONG,4158.21,4149.57,4149.57,-75.0,SL,False,15M
2025-12-18 17:30:00+00:00,2025-12-19 01:15:00+00:00,LONG,4337.11,4311.23,4311.23,-75.0,SL,False,15M
2025-12-30 13:30:00+00:00,2025-12-31 05:30:00+00:00,SHORT,4379.23,4404.56,4328.57,131.25,T2,True,15M
2026-01-08 13:45:00+00:00,2026-01-08 14:45:00+00:00,SHORT,4423.47,4438.56,4438.56,-75.0,SL,False,15M
2026-01-15 13:15:00+00:00,2026-01-15 13:30:00+00:00,SHORT,4604.81,4614.14,4604.81,56.25,BE,True,15M
2026-01-16 13:00:00+00:00,2026-01-16 14:45:00+00:00,SHORT,4595.98,4614.14,4614.14,-75.0,SL,False,15M
2026-02-02 17:15:00+00:00,2026-02-02 23:45:00+00:00,SHORT,4666.7,4761.1,4761.1,-75.0,SL,False,15M
2026-02-10 13:00:00+00:00,2026-02-10 15:30:00+00:00,LONG,5041.72,5012.91,5012.91,-75.0,SL,False,15M
2026-02-12 13:00:00+00:00,2026-02-12 14:45:00+00:00,LONG,5065.22,5052.03,5052.03,-75.0,SL,False,15M
2026-02-12 15:00:00+00:00,2026-02-12 16:00:00+00:00,LONG,5064.54,5052.03,5052.03,-75.0,SL,False,15M
2026-02-19 14:45:00+00:00,2026-02-19 17:30:00+00:00,LONG,5005.04,4986.9,4986.9,-75.0,SL,False,15M
2026-02-23 14:00:00+00:00,2026-02-23 14:45:00+00:00,LONG,5156.63,5138.71,5192.47,131.25,T2,True,15M
2026-02-25 15:30:00+00:00,2026-02-25 20:45:00+00:00,LONG,5190.67,5162.49,5162.49,-75.0,SL,False,15M
2026-03-11 14:00:00+00:00,2026-03-11 17:30:00+00:00,LONG,5189.67,5161.84,5161.84,-75.0,SL,False,15M
2026-03-13 13:45:00+00:00,2026-03-13 14:00:00+00:00,SHORT,5101.55,5112.14,5101.55,0.0,BE,False,15M
2026-03-17 13:45:00+00:00,2026-03-17 15:30:00+00:00,SHORT,5016.31,5035.59,4977.75,131.25,T2,True,15M
2026-03-26 15:30:00+00:00,2026-03-26 16:15:00+00:00,SHORT,4439.41,4463.24,4391.75,131.25,T2,True,15M
2026-04-06 13:45:00+00:00,2026-04-06 17:00:00+00:00,LONG,4678.03,4649.77,4649.77,-75.0,SL,False,15M
2026-04-10 13:45:00+00:00,2026-04-10 20:15:00+00:00,LONG,4774.57,4746.9,4746.9,-75.0,SL,False,15M
2026-04-24 13:15:00+00:00,2026-04-24 13:30:00+00:00,SHORT,4696.16,4700.38,4700.38,-18.75,SL,True,15M
2026-05-08 13:15:00+00:00,2026-05-08 14:00:00+00:00,LONG,4726.52,4706.46,4726.52,0.0,BE,False,15M
2026-05-08 16:15:00+00:00,2026-05-10 22:00:00+00:00,LONG,4717.39,4706.46,4706.46,-75.0,SL,False,15M
2026-05-13 15:30:00+00:00,2026-05-13 17:30:00+00:00,LONG,4699.12,4690.27,4690.27,-75.0,SL,False,15M
2026-05-14 13:15:00+00:00,2026-05-14 19:45:00+00:00,SHORT,4687.94,4705.04,4653.74,131.25,T2,True,15M
2026-05-20 13:15:00+00:00,2026-05-20 14:15:00+00:00,SHORT,4489.31,4507.32,4507.32,-75.0,SL,False,15M
2026-05-21 17:00:00+00:00,2026-05-21 17:15:00+00:00,LONG,4525.89,4511.47,4525.89,0.0,BE,False,15M
2026-05-22 13:15:00+00:00,2026-05-22 15:30:00+00:00,SHORT,4521.51,4539.54,4521.51,56.25,BE,True,15M
