entry_time,direction,entry,sl,dist,touches,htf_dist,fresh,outcome,t1_hit,pnl_usd
2024-09-19 17:30:00+00:00,LONG,2589.84,2587.9,1.94,3,2.96,True,SL,False,-75.0
2024-09-19 17:45:00+00:00,LONG,2590.47,2587.9,2.57,3,2.63,False,SL,False,-75.0
2024-09-20 14:05:00+00:00,LONG,2609.32,2606.52,2.8,2,3.64,True,T2,True,131.25
2024-10-01 17:40:00+00:00,LONG,2665.02,2663.63,1.39,2,0.29,True,SL,False,-75.0
2024-10-02 16:55:00+00:00,SHORT,2649.6,2652.81,3.21,2,0.64,True,SL,False,-75.0
2024-10-14 13:25:00+00:00,LONG,2653.48,2648.96,4.52,3,1.34,True,BE,True,56.25
2024-10-17 16:35:00+00:00,LONG,2688.01,2687.22,0.79,2,1.41,True,SL,True,-18.75
2024-10-17 16:40:00+00:00,LONG,2690.49,2687.22,3.27,2,1.35,False,SL,False,-75.0
2024-10-18 13:20:00+00:00,LONG,2708.4,2708.05,0.35,2,3.91,True,SL,True,-18.75
2024-10-18 13:35:00+00:00,LONG,2709.9,2708.05,1.85,3,3.47,False,T2,True,131.25
2024-10-18 13:40:00+00:00,LONG,2712.14,2708.05,4.09,3,3.33,False,T2,True,131.25
2024-10-22 16:40:00+00:00,LONG,2741.75,2737.7,4.05,2,5.47,True,BE,True,56.25
2024-11-04 13:30:00+00:00,LONG,2741.92,2738.52,3.4,2,3.7,True,SL,False,-75.0
2024-11-05 13:00:00+00:00,LONG,2738.43,2737.25,1.18,5,5.81,True,SL,False,-75.0
2024-11-05 13:10:00+00:00,LONG,2738.52,2737.25,1.27,5,5.36,False,SL,False,-75.0
2024-11-05 13:20:00+00:00,LONG,2740.51,2737.25,3.26,5,4.95,False,T2,True,131.25
2024-11-05 13:25:00+00:00,LONG,2741.72,2737.25,4.47,5,4.75,False,BE,True,56.25
2024-11-07 16:50:00+00:00,LONG,2694.73,2690.66,4.07,2,5.12,True,SL,False,-75.0
2024-11-08 13:40:00+00:00,LONG,2694.09,2689.65,4.44,2,4.77,True,BE,True,56.25
2024-11-18 17:40:00+00:00,LONG,2610.88,2609.41,1.47,2,1.54,True,SL,False,-75.0
